"city","model","aic","r2","dev_expl","built_estimate","built_std_error","built_p_value","mean_h_estimate","mean_h_std_error","mean_h_p_value","ndvi_estimate","ndvi_std_error","ndvi_p_value","weight","weight_normalized"
"St. Cloud, MN","Model1",12463.1428242739,0.309630743861341,0.304167134276465,-1.10507658114263,0.327620100992414,0.00075656880526153,NA,NA,NA,NA,NA,NA,2.59412076144735e-09,2.21291252727584e-09
"St. Cloud, MN","Model2",12448.9392288352,0.315295219496638,0.309258272665424,-0.989945038105689,0.331101930182262,0.00282275243275686,-0.129904901261714,0.0347844569014118,0.000192920070761514,NA,NA,NA,3.14964604329755e-06,2.68680290034347e-06
"St. Cloud, MN","Model3",12453.5070676241,0.313709555950977,0.307377087726983,NA,NA,NA,-0.138593661610613,0.0345027883313368,6.09946005783596e-05,NA,NA,NA,3.2089884981019e-07,2.73742493135585e-07
"St. Cloud, MN","Model4",12443.419229643,0.325074971332032,0.309200207590451,NA,NA,NA,NA,NA,NA,10.4131103733107,1.59634225039869,8.55405812840968e-11,4.97638927278848e-05,4.24510467130706e-05
"St. Cloud, MN","Model5",12427.1259770273,0.329135475250547,0.314718857631133,NA,NA,NA,-0.141519677863817,0.0337868443304559,2.91978797416845e-05,10.9704583210663,1.58941440643861,6.70884092089009e-12,0.171770744050116,0.146528888314327
"St. Cloud, MN","Model6",12439.0538766047,0.327599440392723,0.311124389702986,-0.858073294580524,0.32347525645698,0.00804435739222938,NA,NA,NA,9.89663748324919,1.60172016734362,7.70221118434892e-10,0.000441406488965748,0.000376541433062725
"St. Cloud, MN","Model7",12423.6027878779,0.330413922469867,0.316377848159811,-0.774327819707488,0.324479814992085,0.0171016237980203,-0.13770740905407,0.0341644110501315,5.75364030783151e-05,10.5504477413901,1.59359580111407,4.50425724119401e-11,1,0.853049156447592
"St. George, UT","Model1",5346.18814104729,0.215345011736629,0.287839082502539,-0.201829792141594,0.206031655358807,0.327506701141591,NA,NA,NA,NA,NA,NA,0.000523765907903587,0.000227850674695535
"St. George, UT","Model2",5347.34932579764,0.218360644782918,0.288003533358715,-0.164166197485524,0.207232726919793,0.428433380026622,0.0485409577649598,0.0288771847436182,0.0930715759961429,NA,NA,NA,0.00029308201035847,0.000127497671752995
"St. George, UT","Model3",5346.07615107127,0.223329594822778,0.287640710620141,NA,NA,NA,0.0511998978172542,0.0285536577727068,0.0732430751520684,NA,NA,NA,0.0005539308347177,0.000240973138038456
"St. George, UT","Model4",5331.07920961908,0.20942164056433,0.296732769821852,NA,NA,NA,NA,NA,NA,2.3365281015463,0.52086674165656,8.06331411038049e-06,1,0.435023874706783
"St. George, UT","Model5",5332.45599651753,0.210773637218172,0.296638219173992,NA,NA,NA,0.0500270332390231,0.0286151977849016,0.0807102626320081,2.32860541588971,0.517404028418491,7.53521014490846e-06,0.502382524120903,0.218548392228049
"St. George, UT","Model6",5332.43374098203,0.210342984191732,0.29709203496014,0.0820165021968603,0.214632689609249,0.702446154366322,NA,NA,NA,2.3993886024063,0.544272613068519,1.14842253483908e-05,0.508004140181505,0.220993929428846
"St. George, UT","Model7",5333.57598594982,0.212520089892055,0.29715623301841,0.116595781917859,0.215169654477587,0.588017518511748,0.0513724619335233,0.0288058490110148,0.0748099971240964,2.41582675104897,0.539565210589495,8.38548041073371e-06,0.28696696758535,0.124837482151835
"St. Joseph, MO--KS","Model1",1354.29827643178,0.411133413258878,0.402475215668067,-0.650025345342379,0.266251754551593,0.0154316431174874,NA,NA,NA,NA,NA,NA,0.324916971142101,0.079842761318996
"St. Joseph, MO--KS","Model2",1352.04990522638,0.417488471701717,0.418537341174335,-0.500749576103809,0.28147808197284,0.0766526620816435,0.124960752969447,0.0634492259589943,0.050184508320419,NA,NA,NA,1,0.245732813027107
"St. Joseph, MO--KS","Model3",1352.10848984046,0.413222543001339,0.414855528719868,NA,NA,NA,0.162468183679408,0.0619279419396595,0.00932469515280114,NA,NA,NA,0.971132554092887,0.238639134339445
"St. Joseph, MO--KS","Model4",1357.95995855553,0.400219394917279,0.391042976718185,NA,NA,NA,NA,NA,NA,-0.654532624347329,0.325029331689656,0.0452642490770048,0.0520772719390797,0.0127970945283677
"St. Joseph, MO--KS","Model5",1352.23576021798,0.413495010126752,0.415004576375831,NA,NA,NA,0.165346350192424,0.0609863539209484,0.00724423337726874,-0.706822986958195,0.331371290606035,0.0340530691274319,0.911259568048922,0.223926377054528
