NAME20,INTPTLAT20,INTPTLON20,Area,,,,,,,,,,,,,,,,,,,,,,
"Bowling Green, OH",+41.3740214,-083.6512303,29577779.73,,,,,,,,,,,,,,,,,,,,,,
"Arkansas City, KS",+37.0656141,-097.0405278,17694799.73,,,,,,,,,,,,,,,,,,,,,,
"Winfield, KS",+37.2364745,-096.9842844,18129758.79,,,,,,,,,,,,,,,,,,,,,,
"Marshall, TX",+32.5373136,-094.3591816,41922079.93,,,,,,,,,,,,,,,,,,,,,,
"Little Falls, NY",+43.0455747,-074.8575164,8992014.836,,,,,,,,,,,,,,,,,,,,,,
"Clarksville, AR",+35.4681804,-093.4692898,20301773.33,,,,,,,,,,,,,,,,,,,,,,
"Cobleskill, NY",+42.6753868,-074.4923670,11224646.52,,,,,,,,,,,,,,,,,,,,,,
"Blackwell, OK",+36.8002341,-097.2916270,9973450.353,,,,,,,,,,,,,,,,,,,,,,
"Corinth, NY",+43.2408636,-073.8337105,8082346.868,,,,,,,,,,,,,,,,,,,,,,
"Honesdale, PA",+41.5625546,-075.2481139,10852873.99,,,,,,,,,,,,,,,,,,,,,,
